41,,,,,,,
,,,,,,,
source,destination,ID,distance (miles),cost,Start Date & Time,duration (ms),Mode
New York,Memphis,B_200,1268.84766,190.327149,1.67E+12,99600000,BUS
New York,Atlanta,B_201,944.9636184,141.7445428,1.67E+12,80700000,BUS
New York,Omaha,B_202,1488.304091,223.2456136,1.67E+12,138900000,BUS
New York,Detroit,B_203,822.7020391,123.4053059,1.67E+12,69900000,BUS
New York,Houston,B_204,1817.940785,272.6911178,1.67E+12,139500000,BUS
New York,Portland,B_205,311.6616738,46.74925108,1.67E+12,42507000,BUS
New York,Mesa,B_206,2605.956652,390.8934978,1.67E+12,212460000,BUS
New York,Raleigh,B_207,245.6702095,36.85053143,1.67E+12,21240000,BUS
New York,Virginia Beach,B_208,395.6567415,59.34851123,1.67E+12,36840000,BUS
Los Angeles,Philadelphia,B_209,2785.153835,417.7730752,1.67E+12,226500000,BUS
Los Angeles,Omaha,B_210,1587.409659,238.1114488,1.67E+12,169200000,BUS
Los Angeles,Raleigh,B_211,3120.78241,468.1173614,1.67E+12,268200000,BUS
Los Angeles,Indianapolis,B_212,2136.059125,320.4088688,1.67E+12,162300000,BUS
Los Angeles,Arlington,B_213,3101.981587,465.2972381,1.67E+12,261300000,BUS
Los Angeles,Fort Worth,B_214,1412.973421,211.9460131,1.67E+12,103692000,BUS
Los Angeles,Las Vegas,B_215,232.28215,34.84232249,1.67E+12,21582000,BUS
Los Angeles,Colorado Springs,B_216,1103.273415,165.4910122,1.67E+12,92426000,BUS
Chicago,Bakersfield,B_217,2367.516094,355.1274141,1.67E+12,192840000,BUS
Chicago,Fort Worth,B_218,1134.56628,170.184942,1.67E+12,87492000,BUS
Chicago,Wichita,B_219,787.0129743,118.0519461,1.67E+12,58200000,BUS
Chicago,Tucson,B_220,1984.263782,297.6395673,1.67E+12,151200000,BUS
Houston,Sacramento,B_221,2187.242697,328.0864046,1.67E+12,176100000,BUS
Houston,Portland,B_222,1953.113832,292.9670749,1.67E+12,157337000,BUS
Houston,Long Beach,B_223,1905.245275,285.7867912,1.67E+12,159187000,BUS
Houston,Fresno,B_224,1918.929107,287.839366,1.67E+12,149700000,BUS
Houston,Bakersfield,B_225,1811.942691,271.7914036,1.67E+12,142080000,BUS
Houston,Minneapolis,B_226,1285.607278,192.8410918,1.67E+12,96960000,BUS
Houston,El Paso,B_227,879.3953078,131.9092962,1.67E+12,64200000,BUS
Houston,Baltimore,B_228,1492.8314,223.92471,1.67E+12,114574000,BUS
Philadelphia,Atlanta,B_229,856.9880481,128.5482072,1.67E+12,78600000,BUS
Philadelphia,Sacramento,B_230,3231.360971,484.7041457,1.67E+12,270600000,BUS
Philadelphia,San Diego,B_231,2966.481077,444.9721616,1.67E+12,251400000,BUS
Philadelphia,Jacksonville,B_232,903.51693,135.5275395,1.67E+12,81122000,BUS
Philadelphia,Denver,B_233,350.8913106,52.63369658,1.67E+12,31094000,BUS
Philadelphia,Arlington,B_234,321.1761066,48.17641599,1.67E+12,31140000,BUS
Philadelphia,Fort Worth,B_235,1661.63926,249.2458889,1.67E+12,138960000,BUS
Philadelphia,Kansas City,B_236,1199.725107,179.9587661,1.67E+12,103500000,BUS
San Antonio,Tulsa,B_237,685.047236,102.7570854,1.67E+12,65400000,BUS
San Antonio,Denver,B_238,2114.111059,317.1166588,1.67E+12,167520000,BUS
San Antonio,NashvilleDavidson,B_239,955.0167798,143.252517,1.67E+12,77400000,BUS
San Antonio,Philadelphia,B_240,1773.876261,266.0814391,1.67E+12,140100000,BUS
San Antonio,Wichita,B_241,622.3378533,93.35067799,1.67E+12,48600000,BUS
San Antonio,Baltimore,B_242,1664.459041,249.6688562,1.67E+12,129000000,BUS
San Antonio,Detroit,B_243,1503.191519,225.4787278,1.67E+12,115500000,BUS
San Diego,Jacksonville,B_244,2759.824889,413.9737333,1.67E+12,221803000,BUS
San Diego,Mesa,B_245,521.2320924,78.18481386,1.67E+12,48240000,BUS
San Diego,El Paso,B_246,933.8578545,140.0786782,1.67E+12,72000000,BUS
San Diego,Oklahoma City,B_247,1520.317125,228.0475687,1.67E+12,128546000,BUS
San Diego,Fort Worth,B_248,1533.73936,230.060904,1.67E+12,117492000,BUS
San Diego,Chicago,B_249,2353.141298,352.9711946,1.67E+12,196946000,BUS
Austin,Chicago,B_250,2304.895568,345.7343351,1.67E+12,202258000,BUS
Austin,San Antonio,B_251,1790.19222,268.5288331,1.67E+12,140758000,BUS
Austin,New York,B_252,3223.350256,483.5025385,1.67E+12,256258000,BUS
Austin,Colorado Springs,B_253,1119.03884,167.855826,1.67E+12,106859000,BUS
Austin,Denver,B_254,3212.375602,481.8563403,1.67E+12,304438000,BUS
Austin,Oklahoma City,B_255,1472.071395,220.8107092,1.67E+12,133858000,BUS
Austin,Bakersfield,B_256,164.6670432,24.70005648,1.67E+12,28521000,BUS
Austin,Wichita,B_257,1630.650867,244.59763,1.67E+12,148258000,BUS
Jacksonville,Boston,B_258,1435.998323,215.3997484,1.67E+12,132647000,BUS
Jacksonville,Oklahoma City,B_259,1544.052254,231.6078382,1.67E+12,121247000,BUS
Jacksonville,Detroit,B_260,1157.351333,173.6027,1.67E+12,92147000,BUS
Jacksonville,Sacramento,B_261,3131.747122,469.7620683,1.67E+12,259847000,BUS
Jacksonville,Colorado Springs,B_262,1855.508254,278.3262382,1.67E+12,153873000,BUS
Jacksonville,San Antonio,B_263,1442.443804,216.3665706,1.67E+12,118547000,BUS
Jacksonville,Portland,B_264,1536.655454,230.4983181,1.67E+12,142110000,BUS
Fort Worth,Philadelphia,B_265,1606.641091,240.9961637,1.67E+12,134258000,BUS
Fort Worth,Baltimore,B_266,1489.19638,223.379457,1.67E+12,133358000,BUS
Fort Worth,Mesa,B_267,1051.36346,157.704519,1.67E+12,78878000,BUS
Fort Worth,Portland,B_268,1946.434094,291.9651141,1.67E+12,175221000,BUS
Fort Worth,Las Vegas,B_269,1590.098331,238.5147496,1.67E+12,116144000,BUS
Fort Worth,Virginia Beach,B_270,1573.046047,235.956907,1.67E+12,138278000,BUS
Fort Worth,Detroit,B_271,1275.199314,191.2798971,1.67E+12,100058000,BUS
Fort Worth,Chicago,B_272,1130.203013,169.5304519,1.67E+12,85358000,BUS
Columbus,Raleigh,B_273,868.4430225,130.2664534,1.67E+12,101340000,BUS
Columbus,Las Vegas,B_274,2508.806539,376.3209809,1.67E+12,212083000,BUS
Columbus,Memphis,B_275,605.0103016,90.75154524,1.67E+12,48300000,BUS
Columbus,San Diego,B_276,2468.839956,370.3259935,1.67E+12,210589000,BUS
Columbus,Detroit,B_277,207.3738721,31.10608081,1.67E+12,20100000,BUS
Columbus,Kansas City,B_278,676.4207424,101.4631114,1.67E+12,57900000,BUS
Columbus,Arlington,B_279,798.7015842,119.8052376,1.67E+12,86520000,BUS
Columbus,Chicago,B_280,336.5127856,50.47691784,1.67E+12,28010000,BUS
Indianapolis,Fresno,B_281,2359.383591,353.9075386,1.67E+12,181200000,BUS
Indianapolis,Columbus,B_282,184.1178196,27.61767295,1.67E+12,39900000,BUS
Indianapolis,Long Beach,B_283,1002.953688,150.4430533,1.67E+12,124739000,BUS
Indianapolis,Milwaukee,B_284,291.7498401,43.76247602,1.67E+12,25800000,BUS
Indianapolis,Oakland,B_285,958.1957139,143.7293571,1.67E+12,126872000,BUS
Indianapolis,Memphis,B_286,508.0198808,76.20298212,1.67E+12,44100000,BUS
Indianapolis,Colorado Springs,B_287,1382.528106,207.3792158,1.67E+12,109221000,BUS
Indianapolis,Atlanta,B_288,506.7671969,76.01507953,1.67E+12,43200000,BUS
Indianapolis,Boston,B_289,959.302997,143.8954495,1.67E+12,87000000,BUS
Indianapolis,Chicago,B_290,199.6937265,29.95405897,1.67E+12,15300000,BUS
San Francisco,Las Vegas,B_291,586.222528,87.9333792,1.67E+12,54283000,BUS
San Francisco,Philadelphia,B_292,3189.85401,478.4781015,1.67E+12,284520000,BUS
San Francisco,Colorado Springs,B_293,1409.102901,211.3654351,1.67E+12,122002000,BUS
San Francisco,Portland,B_294,3617.848762,542.6773144,1.67E+12,325483000,BUS
San Francisco,El Paso,B_295,1189.602352,178.4403528,1.67E+12,100320000,BUS
San Francisco,Tulsa,B_296,1878.727646,281.8091469,1.67E+12,167820000,BUS
San Francisco,Detroit,B_297,2858.431496,428.7647243,1.67E+12,250320000,BUS
San Francisco,Fort Worth,B_298,1789.660948,268.4491422,1.67E+12,147912000,BUS
San Francisco,San Antonio,B_299,1860.728392,279.1092588,1.67E+12,152220000,BUS
Denver,Bakersfield,B_300,3266.674728,490.0012092,1.67E+12,291794000,BUS
Denver,El Paso,B_301,2651.280696,397.6921044,1.67E+12,222794000,BUS
Denver,Wichita,B_302,1741.098319,261.1647479,1.67E+12,147194000,BUS
Denver,Mesa,B_303,2801.420085,420.2130127,1.67E+12,245714000,BUS
Denver,Tulsa,B_304,1698.902257,254.8353386,1.67E+12,142694000,BUS
Denver,Los Angeles,B_305,3200.913792,480.1370689,1.67E+12,267194000,BUS
Denver,Detroit,B_306,1060.720065,159.1080097,1.67E+12,92294000,BUS
Denver,Baltimore,B_307,437.127042,65.56905631,1.67E+12,38294000,BUS
NashvilleDavidson,Denver,B_308,1199.381489,179.9072233,1.67E+12,104894000,BUS
NashvilleDavidson,Fresno,B_309,2339.878755,350.9818132,1.67E+12,185040000,BUS
NashvilleDavidson,Arlington,B_310,1156.969811,173.5454717,1.67E+12,100500000,BUS
NashvilleDavidson,Chicago,B_311,481.9726299,72.29589448,1.67E+12,35700000,BUS
NashvilleDavidson,Indianapolis,B_312,292.143168,43.8214752,1.67E+12,21000000,BUS
NashvilleDavidson,Atlanta,B_313,247.6635677,37.14953515,1.67E+12,15000000,BUS
NashvilleDavidson,Philadelphia,B_314,870.7029488,130.6054423,1.67E+12,73800000,BUS
NashvilleDavidson,Columbus,B_315,476.2609876,71.43914814,1.67E+12,43800000,BUS
NashvilleDavidson,Kansas City,B_316,763.0249469,114.453742,1.67E+12,58200000,BUS
Oklahoma City,Baltimore,B_317,1449.977306,217.4965959,1.67E+12,119100000,BUS
Oklahoma City,Virginia Beach,B_318,1771.21555,265.6823325,1.67E+12,167760000,BUS
Oklahoma City,Detroit,B_319,1084.893882,162.7340823,1.67E+12,89100000,BUS
Oklahoma City,Austin,B_320,1471.620901,220.7431351,1.67E+12,139879000,BUS
Oklahoma City,Philadelphia,B_321,1416.316397,212.4474595,1.67E+12,123300000,BUS
Oklahoma City,Atlanta,B_322,1153.495105,173.0242657,1.67E+12,96300000,BUS
Oklahoma City,Omaha,B_323,580.8004447,87.1200667,1.67E+12,62400000,BUS
El Paso,Tulsa,B_324,922.6992741,138.4048911,1.67E+12,68700000,BUS
El Paso,Baltimore,B_325,2152.937425,322.9406138,1.67E+12,172500000,BUS
El Paso,Detroit,B_326,2088.682072,313.3023108,1.67E+12,155400000,BUS
El Paso,Wichita,B_327,1006.300393,150.9450589,1.67E+12,73200000,BUS
El Paso,Jacksonville,B_328,1845.87079,276.8806185,1.67E+12,155721000,BUS
El Paso,Atlanta,B_329,1445.546931,216.8320397,1.67E+12,117000000,BUS
Boston,Oakland,B_330,69.95705404,10.49355811,1.67E+12,8672000,BUS
Boston,Sacramento,B_331,3527.475943,529.1213914,1.67E+12,298052000,BUS
Boston,Houston,B_332,2007.842947,301.1764421,1.67E+12,160800000,BUS
Boston,New York,B_333,213.6366704,32.04550055,1.67E+12,15600000,BUS
Boston,Colorado Springs,B_334,2374.310165,356.1465247,1.67E+12,200721000,BUS
Portland,Omaha,B_335,1829.570986,274.4356479,1.67E+12,171900000,BUS
Portland,Oklahoma City,B_336,1879.176897,281.8765346,1.67E+12,153950000,BUS
Portland,Long Beach,B_337,149.5584074,22.4337611,1.67E+12,48889000,BUS
Portland,Tucson,B_338,3151.929874,472.7894811,1.67E+12,252950000,BUS
Portland,Wichita,B_339,1816.483049,272.4724573,1.67E+12,149150000,BUS
Portland,Fresno,B_340,3509.606556,526.4409833,1.67E+12,292550000,BUS
Portland,Atlanta,B_341,1140.48111,171.0721666,1.67E+12,98198000,BUS
Portland,Mesa,B_342,2876.062276,431.4093414,1.67E+12,262070000,BUS
Portland,Raleigh,B_343,135.3725074,20.30587611,1.67E+12,20090000,BUS
Las Vegas,Memphis,B_344,2062.67086,309.400629,1.67E+12,166619000,BUS
Las Vegas,Portland,B_345,2922.94099,438.4411485,1.67E+12,266006000,BUS
Las Vegas,Kansas City,B_346,1365.808876,204.8713314,1.67E+12,104699000,BUS
Las Vegas,Colorado Springs,B_347,835.4780482,125.3217072,1.67E+12,72625000,BUS
Las Vegas,Raleigh,B_348,3683.200836,552.4801254,1.67E+12,326759000,BUS
Las Vegas,New York,B_349,2612.223179,391.8334768,1.67E+12,215699000,BUS
Detroit,Kansas City,B_350,971.8621476,145.7793221,1.67E+12,86749000,BUS
Detroit,Oakland,B_351,981.9177945,147.2876692,1.67E+12,125672000,BUS
Detroit,Raleigh,B_352,1023.821812,153.5732718,1.67E+12,98400000,BUS
Detroit,Philadelphia,B_353,672.824247,100.9236371,1.67E+12,58500000,BUS
Detroit,San Francisco,B_354,2798.663683,419.7995525,1.67E+12,233923000,BUS
Detroit,Colorado Springs,B_355,1677.338819,251.6008229,1.67E+12,146470000,BUS
Detroit,El Paso,B_356,1875.950118,281.3925176,1.67E+12,156300000,BUS
Detroit,Portland,B_357,1078.406769,161.7610153,1.67E+12,117807000,BUS
Memphis,San Francisco,B_358,2260.002134,339.0003201,1.67E+12,172674000,BUS
Memphis,Las Vegas,B_359,1789.534188,268.4301283,1.67E+12,160483000,BUS
